ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
683,Jonathan Bendorf (LW),Mercyhurst University,24,3,6,9,0.38,2,-16
684,Matthew Thom (D),Princeton University,27,3,6,9,0.33,14,-16
685,Michael Pastujov (LW),University of Michigan,29,3,6,9,0.31,12,-1
686,Dylan Pitera (F),Bentley University,31,3,6,9,0.29,16,5
687,Daniel Haider (F),Army (U.S. Military Academy),33,3,6,9,0.27,4,-3
688,Chris Dodero (C/LW),American International College,34,3,6,9,0.26,12,3
689,Griffin Mendel (D),University of Denver,36,3,6,9,0.25,10,13
690,Will Brophy (D),College of the Holy Cross,37,3,6,9,0.24,10,-8
691,Brandon Estes (D),Union College,37,3,6,9,0.24,26,-8
692,A.J. Vanderbeck (RW),Northern Michigan University,8,2,7,9,1.13,2,8
693,Noah Bauld (C),Cornell University,26,2,7,9,0.35,29,3
694,Clayton Phillips (D),Penn State University,27,2,7,9,0.33,20,-2
695,Evan Smith (C/LW),Yale University,28,2,7,9,0.32,14,-11
696,Jake Flynn (D),University of Connecticut,30,2,7,9,0.30,8,0
697,Jeremy Germain (C/LW),Princeton University,31,2,7,9,0.29,4,-6
698,Michael Maloney (F),Brown University,31,2,7,9,0.29,25,-17
699,Nick Lalonde (RW),Robert Morris University,32,2,7,9,0.28,12,-2
700,Andy Carroll (D),Minnesota State University (Mankato),33,2,7,9,0.27,6,18
701,Connor Moore (D),Boston College,33,2,7,9,0.27,12,9
702,Jade Miller (LW),University of Minnesota-Duluth,34,2,7,9,0.26,6,9
703,Jesper Mattila (D),Boston College,34,2,7,9,0.26,10,30
704,Stanislav Demin (D),University of Denver,34,2,7,9,0.26,50,4
705,Alex Gilmour (LW),St. Lawrence University,35,2,7,9,0.26,16,-8
706,Roberts Kalkis (D),University of Alaska-Fairbanks,35,2,7,9,0.26,18,-2
707,Tommy Miller (D),Michigan State University,36,2,7,9,0.25,4,4
708,Jacob Semik (D),Arizona State University,36,2,7,9,0.25,25,0
709,Dustin Manz (C/RW),Lake Superior State University,40,2,7,9,0.23,18,-13
710,Brendan Less (D),Dartmouth College,31,1,8,9,0.29,10,8
711,Dakota Raabe (LW),University of Michigan,32,1,8,9,0.28,10,4
712,Ty Emberson (D),University of Wisconsin,33,1,8,9,0.27,53,-9
713,Harrison Rees (D),University of Connecticut,34,1,8,9,0.26,18,0
714,Jakub Sirota (D),University of Maine,34,1,8,9,0.26,26,10
715,Jack Surowiec (C/LW),College of the Holy Cross,34,1,8,9,0.26,33,-14
716,Kyle Marino (C/D),University of Alaska-Fairbanks,35,1,8,9,0.26,76,-3
717,Ryan Nicholson (D),RIT (Rochester Inst. of Tech.),36,1,8,9,0.25,16,10
718,Luke Martin (D),University of Michigan,36,1,8,9,0.25,18,10
719,Ryan Zuhlsdorf (D),University of Minnesota,37,1,8,9,0.24,8,5
720,Tyler Rockwell (D),Michigan Tech,38,1,8,9,0.24,10,4
721,Bryson Traptow (F),RIT (Rochester Inst. of Tech.),17,0,9,9,0.53,19,2
722,Nate Clurman (D),University of Notre Dame,37,0,9,9,0.24,10,8
723,Coale Norris (LW),Ferris State University,25,6,2,8,0.32,29,-17
724,Raymond Brice (C/LW),Michigan Tech,28,6,2,8,0.29,6,-1
725,Cam Strong (LW),Dartmouth College,31,6,2,8,0.26,12,-6
726,Tyr Thompson (C),University of Alabama-Huntsville,32,6,2,8,0.25,18,-10
727,Chris Schutz (LW/RW),UMass-Lowell,23,5,3,8,0.35,2,4
728,Dante Palecco (LW),Yale University,28,5,3,8,0.29,6,-8
729,Sam Rennaker (C),University of Maine,28,5,3,8,0.29,14,1
730,Kaden Pickering (RW),St. Lawrence University,28,5,3,8,0.29,29,-15
731,Christopher Klack (C/W),Clarkson University,29,5,3,8,0.28,4,4
732,Zach Kaiser (C/LW),UMass-Lowell,30,5,3,8,0.27,31,4
733,Koby Bender (RW/C),University of Minnesota-Duluth,32,5,3,8,0.25,16,1
734,Andrew McIntyre (RW),St. Lawrence University,26,4,4,8,0.31,14,0
735,Khristian Acosta (F),Mercyhurst University,26,4,4,8,0.31,68,-15
736,Jason Smallidge (D),University of Nebraska-Omaha,27,4,4,8,0.30,14,5
737,Christian Sanda (F),Union College,32,4,4,8,0.25,4,-9
738,Anthony Callin (RW/D),Clarkson University,34,4,4,8,0.24,27,4
739,Mitchel Slattery (RW),Northern Michigan University,36,4,4,8,0.22,10,-16
740,Garrett Klee (F),Northern Michigan University,37,4,4,8,0.22,35,-4
741,Brayden Camrud (C),University of Alaska-Anchorage,21,3,5,8,0.38,62,-3
742,Brett Van Os (LW),Western Michigan University,22,3,5,8,0.36,6,2
743,Brayden Gelsinger (LW),Lake Superior State University,22,3,5,8,0.36,16,2
744,Caleb Schroer (F),Northern Michigan University,25,3,5,8,0.32,4,1
745,Demetrios Koumontzis (LW/D),Arizona State University,25,3,5,8,0.32,21,-9
746,Ashton Fry (F),St. Lawrence University,26,3,5,8,0.31,12,0
747,Liam Robertson (C),Union College,27,3,5,8,0.30,26,-2
748,Connor Merkley (C),University of Alabama-Huntsville,29,3,5,8,0.28,25,-17
749,Miroslav Mucha (RW),Lake Superior State University,30,3,5,8,0.27,20,-5
750,Colton Kerfoot (F),Harvard University,31,3,5,8,0.26,6,1
751,Ryan Siedem (D),Harvard University,31,3,5,8,0.26,8,7
752,Kale Bennett (D),Western Michigan University,33,3,5,8,0.24,8,6
753,Ben Poisson (F),University of Maine,34,3,5,8,0.24,14,1
754,Josh Nodler (C/RW),Michigan State University,36,3,5,8,0.22,2,-1
755,Nicolas Müller (C/RW),Michigan State University,36,3,5,8,0.22,10,1
756,Adam Roeder (D),Northern Michigan University,36,3,5,8,0.22,12,-1
757,Jacob Panetta (D),Colgate University,36,3,5,8,0.22,12,-1
758,Brody Stevens (C),Michigan State University,36,3,5,8,0.22,30,-3
759,James Crossman (D),Brown University,21,2,6,8,0.38,18,3
760,Jack Malone (RW/C),Cornell University,27,2,6,8,0.30,4,11
761,Nick Campoli (C),Clarkson University,29,2,6,8,0.28,16,-2
762,Charlie Marchand (D),Bentley University,30,2,6,8,0.27,10,6
763,Max Luukko (D),Sacred Heart University,31,2,6,8,0.26,10,5
764,Anthony Del Gaizo (LW/C),UMass,31,2,6,8,0.26,29,9
765,Lucas Vanroboys (C/RW),Bentley University,32,2,6,8,0.25,18,4
766,Parker Revering (D),American International College,32,2,6,8,0.25,28,8
767,Brady Ferner (D),RPI (Rensselaer Polytech. Inst.),34,2,6,8,0.24,8,-4
768,Gianluca Esteves (F),Michigan State University,35,2,6,8,0.23,2,1
769,Robbie Stucker (D),University of Minnesota,35,2,6,8,0.23,4,-2
770,Joshua Ess (D),University of Wisconsin,35,2,6,8,0.23,4,-3
771,Jarrod Gourley (D),Arizona State University,35,2,6,8,0.23,29,5
772,Eric Sinclair (D),University of Alaska-Anchorage,36,2,6,8,0.22,54,-11
773,Tyler Vold (D),Bemidji State University,37,2,6,8,0.22,4,9
774,Reid Stefanson (C/LW),UMass-Lowell,14,1,7,8,0.57,4,-5
775,Bray Crowder (D),Miami University (Ohio),27,1,7,8,0.30,31,-4
776,Nicolas Luka (D),American International College,30,1,7,8,0.27,14,10
777,Marshall Rifai (D),Harvard University,30,1,7,8,0.27,20,6
778,Graham Lillibridge (D),Yale University,32,1,7,8,0.25,4,-3
779,Zach Vinnell (D/LW),Merrimack College,33,1,7,8,0.24,18,-14
780,Keaton Pehrson (D),University of Michigan,35,1,7,8,0.23,0,10
781,Mike Van Unen (D),Northern Michigan University,36,1,7,8,0.22,41,3
782,Logan Gestro (D),Canisius College,28,0,8,8,0.29,16,-1
783,Billy Sweezey (D),Yale University,32,0,8,8,0.25,47,-3
784,Mitchell Oliver (D),Lake Superior State University,34,0,8,8,0.24,18,0
785,Kasper Kotkansalo (D),Boston University,34,0,8,8,0.24,23,-2
786,Ryan Johnson (D),University of Minnesota,37,0,8,8,0.22,20,-9
787,Wilmer Skoog (C),Boston University,17,5,2,7,0.41,20,1
788,Brendan Walkom (C/LW),Bentley University,25,5,2,7,0.28,2,5
789,Gabriel Chabot (RW/D),Boston University,33,5,2,7,0.21,17,1
790,Ryan Miotto (F),Canisius College,34,5,2,7,0.21,18,-13
791,Jaedon Leslie (F),Ohio State University,15,4,3,7,0.47,0,6
792,Sam Knoblauch (RW),UMass-Lowell,16,4,3,7,0.44,4,3
793,Ross Armour (C/RW),Bemidji State University,26,4,3,7,0.27,8,3
794,Dallas Tulik (F),Ferris State University,26,4,3,7,0.27,16,-5
795,Cole Quisenberry (F),Brown University,28,4,3,7,0.25,12,0
796,Brett Edwards (F),University of Denver,28,4,3,7,0.25,16,-8
797,Connor Wood (RW),University of Alabama-Huntsville,30,4,3,7,0.23,32,-7
798,Finn Evans (RW),Princeton University,31,4,3,7,0.23,18,-4
799,Geoff Kitt (C),Mercyhurst University,32,4,3,7,0.22,14,-21
800,Biagio Lerario (C),Northeastern University,32,4,3,7,0.22,74,-7
801,Blake Bride (RW),Air Force Academy,33,4,3,7,0.21,10,-9
802,Brendan McKay (LW),Lake Superior State University,41,4,3,7,0.17,19,-5
803,Joe Leahy (D),Cornell University,10,3,4,7,0.70,4,10
804,Parker Foo (LW),Union College,20,3,4,7,0.35,10,-4
805,Christiano Versich (RW),Colorado College,29,3,4,7,0.24,10,-7
806,Mitchell Smith (LW),Yale University,30,3,4,7,0.23,12,-10
807,Jack Gates (C),Colorado College,31,3,4,7,0.23,6,2
808,Will D'Orsi (C),Yale University,31,3,4,7,0.23,12,-7
809,Zac Robbins (F),University of Connecticut,33,3,4,7,0.21,2,-3
810,Nolan Moyle (C/RW),University of Michigan,33,3,4,7,0.21,8,0
811,Josh McKechney (F),Colgate University,35,3,4,7,0.20,16,-8
812,Austen Long (RW/C),American International College,14,2,5,7,0.50,2,3
