ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
365,Ian Carpentier (C),Yale University,31,9,8,17,0.55,20,-5
366,Dawson Tritt (F),Lake Superior State University,35,9,8,17,0.49,4,-4
367,Patrick Guzzo (C),Ohio State University,40,9,8,17,0.43,6,3
368,Ryan Kirwan (LW/RW),Penn State University,28,8,9,17,0.61,4,21
369,Nathan Horn (F),Air Force Academy,33,8,9,17,0.52,8,-4
370,Jack Malone (RW/C),Cornell University,34,8,9,17,0.50,6,4
371,Noah Kane (C),Long Island University,34,8,9,17,0.50,14,1
372,Jack Works (F),Michigan Tech,39,8,9,17,0.44,12,5
373,Jason Ahearn (F),Niagara University,17,7,10,17,1.00,16,-1
374,Jordan Tonelli (C/LW),Brown University,23,7,10,17,0.74,26,-3
375,Braiden Dorfman (F),Dartmouth College,30,7,10,17,0.57,25,-15
376,T.J. Walsh (LW),RPI (Rensselaer Polytech. Inst.),35,7,10,17,0.49,4,-8
377,Nick Hale (D),College of the Holy Cross,35,7,10,17,0.49,28,0
378,Bradley Marek (LW),Ferris State University,36,7,10,17,0.47,10,-11
379,Jere Väisänen (F),Bemidji State University,36,7,10,17,0.47,13,5
380,Miroslav Mucha (RW),Michigan State University,38,7,10,17,0.45,6,-3
381,Aaron Huglen (W/C),University of Minnesota,38,7,10,17,0.45,18,7
382,Christian Sarlo (F),Penn State University,38,7,10,17,0.45,29,9
383,Mark Senden (C/LW),University of North Dakota,39,7,10,17,0.44,22,0
384,Jack O'Leary (F),Cornell University,29,6,11,17,0.59,8,19
385,Jake Braccini (RW),University of St. Thomas,32,6,11,17,0.53,9,-15
386,Brandon Puricelli (RW),Lake Superior State University,32,6,11,17,0.53,14,-10
387,Austin Brimmer (RW),Long Island University,32,6,11,17,0.53,27,-3
388,Jordan Di Cicco (D),Long Island University,34,6,11,17,0.50,10,4
389,Jack Williams (RW/LW),Northeastern University,35,6,11,17,0.49,4,5
390,Isaac Howard (LW),University of Minnesota-Duluth,35,6,11,17,0.49,25,-13
391,Owen Gallatin (D),University of Minnesota-Duluth,37,6,11,17,0.46,27,-15
392,Jackson Hallum (F),University of Michigan,39,6,11,17,0.44,45,11
393,Nolan Welsh (F),Long Island University,32,5,12,17,0.53,12,3
394,Anton Rubtsov (F),University of Alaska-Fairbanks,33,5,12,17,0.52,22,5
395,Isac Jonsson (D),UMass-Lowell,34,5,12,17,0.50,6,9
396,Micah Miller (RW/C),St. Cloud State University,41,5,12,17,0.41,18,4
397,Kyle Heath (F),Stonehill College,25,4,13,17,0.68,8,2
398,Noah De la Durantaye (D),Princeton University,31,4,13,17,0.55,22,-8
399,Cole O'Hara (RW),UMass,32,4,13,17,0.53,14,0
400,Oskar Jellvik (LW/C),Boston College,34,4,13,17,0.50,6,-6
401,Ben Meehan (D),UMass-Lowell,34,4,13,17,0.50,43,-1
402,Taige Harding (D),Providence College,37,4,13,17,0.46,19,15
403,Matt Basgall (D),Michigan State University,38,4,13,17,0.45,14,-2
404,Josef Mysak (D),Niagara University,39,3,14,17,0.44,45,-2
405,Matthew Rickard (D),American International College,33,2,15,17,0.52,10,0
406,Ryan Siedem (D),Harvard University,34,1,16,17,0.50,21,12
407,Danny DiGrande (C),Canisius College,27,12,4,16,0.59,27,2
408,Harrison Roy (F),Lake Superior State University,31,12,4,16,0.52,10,-20
409,Luke Haymes (C/LW),Dartmouth College,30,11,5,16,0.53,34,-18
410,Ethan Scardina (C),Bowling Green State University,31,11,5,16,0.52,14,-8
411,Josh Nixon (RW),Union College,34,11,5,16,0.47,45,-7
412,Cole Krygier (D),Michigan State University,38,10,6,16,0.42,60,2
413,Jamie Rome (F),Western Michigan University,30,9,7,16,0.53,8,6
414,Carson Bantle (LW/RW),University of Wisconsin,35,9,7,16,0.46,14,-13
415,Zach Kaiser (C/LW),UMass-Lowell,30,8,8,16,0.53,10,7
416,Ethan Manderville (C),Colgate University,34,8,8,16,0.47,22,-9
417,Michael Sacco (F),Army (U.S. Military Academy),34,8,8,16,0.47,30,-5
418,Dylan James (LW),University of North Dakota,36,8,8,16,0.44,6,4
419,Ryan O'Reilly (W/C),Arizona State University,36,8,8,16,0.44,16,-1
420,Tyler Ghirardosi (F),College of the Holy Cross,37,8,8,16,0.43,31,0
421,Connor Marritt (F),University of Alaska-Anchorage,28,7,9,16,0.57,10,-7
422,Chad Hillebrand (LW/C),Western Michigan University,32,7,9,16,0.50,37,11
423,Alex Gaffney (C),Harvard University,33,7,9,16,0.48,4,4
424,Cole Kodsi (LW),Bentley University,34,7,9,16,0.47,12,2
425,Erik Middendorf (LW),Michigan State University,37,7,9,16,0.43,12,-10
426,Jacques Bouquot (C/LW),University of Vermont,29,6,10,16,0.55,4,-4
427,Jake Gagnon (RW),RPI (Rensselaer Polytech. Inst.),31,6,10,16,0.52,4,-8
428,Damien Carfagna (D),University of New Hampshire,35,6,10,16,0.46,2,-15
429,William Zapernick (C/RW),University of Vermont,36,6,10,16,0.44,31,-18
430,Jakub Sirota (D),University of Maine,36,6,10,16,0.44,39,2
431,Filip Forsmark (LW/RW),Merrimack College,37,6,10,16,0.43,18,4
432,Matt Hubbarde (C),Dartmouth College,30,5,11,16,0.53,12,-13
433,Jack Hughes (C),Northeastern University,32,5,11,16,0.50,16,-14
434,Jack Judson (D),Arizona State University,37,5,11,16,0.43,18,9
435,Jacob Truscott (D),University of Michigan,23,4,12,16,0.70,12,8
436,Zach Bookman (D),Merrimack College,36,4,12,16,0.44,16,1
437,Ty Naaykens (F),St. Lawrence University,31,3,13,16,0.52,6,3
438,T.J. Lloyd (D),University of Alaska-Fairbanks,34,3,13,16,0.47,10,14
439,Mason Waite (D),St. Lawrence University,35,3,13,16,0.46,14,-5
440,Stanislav Demin (D),Merrimack College,37,3,13,16,0.43,18,12
441,Josh Zinger (D),Northern Michigan University,38,3,13,16,0.42,12,1
442,Luke Krys (D),Brown University,30,2,14,16,0.53,49,-8
443,Matt Gosiewski (C),Bentley University,33,2,14,16,0.48,10,-20
444,Derek Daschke (D),University of Minnesota-Duluth,37,2,14,16,0.43,6,-5
445,Jed Pietila (D),Michigan Tech,35,1,15,16,0.46,26,11
446,Davis Pennington (D),University of Nebraska-Omaha,36,1,15,16,0.44,10,5
447,Joe Cassetti (C/LW),Miami University (Ohio),34,10,5,15,0.44,20,-10
448,Anthony Romano (C/RW),Clarkson University,19,9,6,15,0.79,8,6
449,Nick Seitz (F),Princeton University,28,9,6,15,0.54,17,-7
450,Harrison Israels (C),University of Alaska-Fairbanks,34,9,6,15,0.44,12,8
451,Grady Hobbs (RW/LW),RIT (Rochester Inst. of Tech.),34,9,6,15,0.44,30,-4
452,Tyler Schleppe (F),Ferris State University,35,9,6,15,0.43,17,-8
453,Rylee St. Onge (LW),Mercyhurst University,24,8,7,15,0.63,8,1
454,David Chen (F),Yale University,32,8,7,15,0.47,10,-6
455,Harrison Scott (C/LW),Bentley University,32,8,7,15,0.47,30,-10
456,Ondrej Psenicka (RW),Cornell University,34,8,7,15,0.44,10,15
457,Oscar Geschwind (F),American International College,35,8,7,15,0.43,6,-1
458,Chase Yoder (C/W),Providence College,37,8,7,15,0.41,14,3
459,Cade DeStefani (C),Lindenwood University,26,7,8,15,0.58,42,-2
460,Stevie Castagna (F),Bentley University,33,7,8,15,0.45,20,-1
461,Didrik Henbrant (RW/C),University of Maine,34,7,8,15,0.44,24,1
462,Tyler Paquette (RW/C),Penn State University,36,7,8,15,0.42,8,-2
463,Danny Dzhaniyev (F),Penn State University,37,7,8,15,0.41,12,-2
464,Tyler Gratton (RW),Penn State University,38,7,8,15,0.39,18,3
465,Cooper Flinton (LW/RW),Dartmouth College,27,6,9,15,0.56,12,-5
466,Antonio Venuto (RW),Ferris State University,34,6,9,15,0.44,14,-7
467,Erik Urbank (RW),Canisius College,34,6,9,15,0.44,20,8
468,Nolan Sullivan (F),University of Nebraska-Omaha,35,6,9,15,0.43,31,0
469,Parker Brown (F),Air Force Academy,36,6,9,15,0.42,21,-12
470,Jesse Lansdell (LW),University of Notre Dame,36,6,9,15,0.42,64,-6
471,Ondřej Pavel (C/LW),Minnesota State University (Mankato),39,6,9,15,0.38,34,5
472,David Jacobs (RW),Princeton University,32,5,10,15,0.47,22,-11
473,Tyson Jugnauth (D),University of Wisconsin,32,5,10,15,0.47,30,-20
474,P.J. Fletcher (C/RW),Miami University (Ohio),36,5,10,15,0.42,22,-19
475,Hunter Strand (C),University of Notre Dame,37,5,10,15,0.41,21,-11
476,Jan Lasak (RW),St. Lawrence University,34,4,11,15,0.44,2,-1
477,Brenden MacLaren (F),Ferris State University,35,4,11,15,0.43,18,5
478,Lauri Sertti (D),RPI (Rensselaer Polytech. Inst.),35,4,11,15,0.43,31,-6
479,Jake Johnson (D),Quinnipiac University,39,4,11,15,0.38,32,31
480,Simon Labelle (LW),Colgate University,40,4,11,15,0.38,6,1
481,Ben Schoen (C),Penn State University,24,3,12,15,0.63,16,5
482,Robbie Stucker (D),University of Vermont,33,3,12,15,0.45,21,-9
483,Cal Mell (D),Union College,34,3,12,15,0.44,8,-7
484,Case McCarthy (D),Boston University,35,3,12,15,0.43,14,16
485,Michael Gildon (C/LW),Ohio State University,40,3,12,15,0.38,40,0
486,Ben Wozney (D),Bowling Green State University,36,2,13,15,0.42,14,-2
487,Eric Gotz (D),University of Vermont,36,2,13,15,0.42,14,-9
488,Thomas Freel (C),University of Maine,36,2,13,15,0.42,27,0
489,Owen McLaughlin (C),University of North Dakota,37,2,13,15,0.41,10,-9
490,Aidan Fulp (D),Western Michigan University,38,2,13,15,0.39,24,9
491,Evan Stella (D),American International College,39,2,13,15,0.38,35,19
492,Iivari Räsänen (D),Quinnipiac University,41,2,13,15,0.37,12,25
493,Max Dukovac (F),Miami University (Ohio),31,1,14,15,0.48,27,-6
494,Blake Evennou (D),Ferris State University,35,1,14,15,0.43,18,-11
495,Bryan Yoon (D),Colorado College,38,1,14,15,0.39,4,-19
496,John Waldron (F),Miami University (Ohio),29,9,5,14,0.48,16,-17
497,Dylan Pitera (F),Bentley University,33,9,5,14,0.42,16,-9
498,Connor McGrath (C),Ferris State University,33,8,6,14,0.42,14,-7
499,Scout Truman (LW),UMass-Lowell,34,8,6,14,0.41,10,12
500,Matt Allen (F),University of Alaska-Anchorage,27,7,7,14,0.52,22,-5
501,Sean Chisholm (C/LW),Dartmouth College,30,7,7,14,0.47,22,-20
502,Garrett Dahm (F),Mercyhurst University,32,7,7,14,0.44,8,10
503,Red Savage (C),Miami University (Ohio),32,7,7,14,0.44,24,-15
504,Joel Määttä (C),University of Vermont,36,7,7,14,0.39,18,-10
505,Justin Janicke (LW/C),University of Notre Dame,36,7,7,14,0.39,32,3
506,Max Dorrington (RW/LW),St. Lawrence University,36,7,7,14,0.39,36,-1
507,Will Gilson (D),University of Alaska-Anchorage,27,6,8,14,0.52,38,-20
508,McKade Webster (LW),University of Denver,30,6,8,14,0.47,34,6
509,Timo Bakos (F),Lake Superior State University,33,6,8,14,0.42,2,0
510,Owen Cole (C),UMass-Lowell,33,6,8,14,0.42,6,1
511,Jack Quinn (F),Long Island University,36,6,8,14,0.39,6,5
512,Marko Reifenberger (C),Mercyhurst University,36,6,8,14,0.39,23,1
513,Lars Christian Rødne (LW),Niagara University,37,6,8,14,0.38,16,-11
514,Hugh Larkin (RW),Western Michigan University,38,6,8,14,0.37,24,0
515,Lucas Sowder (LW),Minnesota State University (Mankato),25,5,9,14,0.56,8,-1
516,Adam Robbins (F),Princeton University,32,5,9,14,0.44,38,-9
517,Kaden Pickering (RW),Bemidji State University,36,5,9,14,0.39,10,-6
518,Marshall Warren (D),Boston College,36,5,9,14,0.39,12,0
519,Ryan Richardson (LW),Clarkson University,37,5,9,14,0.38,10,-5
520,Nic Belpedio (D),Colgate University,40,5,9,14,0.35,14,-6
521,Briggs Gammill (F),Yale University,32,4,10,14,0.44,12,-8
522,Simon Kjellberg (D),Northern Michigan University,32,4,10,14,0.44,24,4
523,Ryan Lautenbach (RW/LW),UMass,33,4,10,14,0.42,20,0
524,Chaz Smedsrud (LW),Union College,34,4,10,14,0.41,8,-8
525,Jake Crespi (D),Michigan Tech,34,4,10,14,0.41,30,10
526,Jake Flynn (D),University of Connecticut,35,4,10,14,0.40,12,18
527,Blake Humphrey (C),Sacred Heart University,37,4,10,14,0.38,10,1
528,Ethan Edwards (D),University of Michigan,37,4,10,14,0.38,69,3
529,Matthew Cassidy (RW),Ohio State University,33,3,11,14,0.42,10,-1
530,Max Smolinski (D),RPI (Rensselaer Polytech. Inst.),35,3,11,14,0.40,16,-12
531,Lucas Mercuri (C/RW),UMass,35,3,11,14,0.40,33,0
532,Cade Townend (D),Mercyhurst University,36,3,11,14,0.39,12,-8
533,Hampus Rydqvist (D),Miami University (Ohio),36,3,11,14,0.39,50,-18
534,Louis Jamernik (RW),University of North Dakota,39,3,11,14,0.36,22,-1
535,Scooter Brickey (D),Ohio State University,40,3,11,14,0.35,30,10
536,Nicklas Andrews (D),Colorado College,37,2,12,14,0.38,14,-16
537,Nick Nardella (RW),Michigan Tech,32,1,13,14,0.44,12,-1
538,Philippe Chapleau (D),St. Lawrence University,35,1,13,14,0.40,11,-11
539,Hunter McDonald (D),Northeastern University,35,1,13,14,0.40,56,21
540,Reid Irwin (D/C),Colgate University,39,1,13,14,0.36,45,1
541,Mathew Shatsky (D),College of the Holy Cross,41,1,13,14,0.34,29,-7
542,Liam Robertson (C),Union College,35,9,4,13,0.37,52,-6
543,Kyler Head (F),Mercyhurst University,28,8,5,13,0.46,18,-8
544,Luke Manning (C/W),University of St. Thomas,35,8,5,13,0.37,10,-10
545,Daniel Ebrahim (LW),Sacred Heart University,27,7,6,13,0.48,10,-4
546,Jack Adams (RW/C),University of Notre Dame,32,7,6,13,0.41,10,0
547,Jaroslav Chmelar (RW/LW),Providence College,33,7,6,13,0.39,26,-2
548,Caden Villegas (F),Union College,34,7,6,13,0.38,4,3
549,Mitchel Deelstra (LW/C),Ferris State University,34,7,6,13,0.38,47,-7
550,Jordan Seyfert (C),Merrimack College,35,7,6,13,0.37,10,11
551,Landon Slaggert (LW/C),University of Notre Dame,35,7,6,13,0.37,14,-5
552,Joey Cipollone (C),Quinnipiac University,41,7,6,13,0.32,8,14
553,Cole Donhauser (C/W),Yale University,27,6,7,13,0.48,32,1
554,Brett Bliss (D),Brown University,30,6,7,13,0.43,39,-7
555,Jared Westcott (C/LW),Lake Superior State University,32,6,7,13,0.41,32,-10
556,Marek Hejduk (F),Harvard University,34,6,7,13,0.38,14,-5
557,Justin Lee (D),University of Denver,40,6,7,13,0.33,59,30
558,Jamie Armstrong (LW/RW),Boston University,29,5,8,13,0.45,6,13
559,Carson Brière (C/RW),Mercyhurst University,30,5,8,13,0.43,14,-7
560,Simon Gravel (C/RW),Canisius College,31,5,8,13,0.42,9,1
561,Kyle Gaffney (F),University of Alaska-Fairbanks,33,5,8,13,0.39,13,9
562,Andrew DeCarlo (F),Air Force Academy,33,5,8,13,0.39,34,-6
563,Ryan Black (RW),University of New Hampshire,34,5,8,13,0.38,0,-10
564,Eric Martin (F),Bemidji State University,24,4,9,13,0.54,6,-8
565,Jonathan Bendorf (LW),Mercyhurst University,34,4,9,13,0.38,2,-13
566,Baker Shore (RW),Harvard University,34,4,9,13,0.38,14,3
567,Jake Stella (LW),UMass-Lowell,36,4,9,13,0.36,4,-1
568,Carter Loney (C),University of Minnesota-Duluth,37,4,9,13,0.35,27,-6
569,Carter Jones (F),Bemidji State University,23,3,10,13,0.57,4,-1
570,Cam Collins (F),Stonehill College,23,3,10,13,0.57,8,5
571,Cooper Moore (D),University of North Dakota,31,3,10,13,0.42,34,-12
572,Dustin Geregach (D),Mercyhurst University,32,3,10,13,0.41,10,-4
573,Christopher Theodore (LW),Union College,34,3,10,13,0.38,10,-11
574,John Jaworski (F),Sacred Heart University,36,3,10,13,0.36,22,4
575,Tyler Cristall (F),St. Lawrence University,32,2,11,13,0.41,8,2
576,Kyle Hallbauer (D),RPI (Rensselaer Polytech. Inst.),35,2,11,13,0.37,14,-9
577,Jordan Power (D),Clarkson University,37,2,11,13,0.35,18,7
578,Ryan Beck (C),Colorado College,38,2,11,13,0.34,14,-11
579,Kyle Mayhew (D),University of Denver,40,2,11,13,0.33,18,20
580,Spencer Cox (D/C),Long Island University,34,1,12,13,0.38,10,0
581,David Breazeale (D),University of Maine,36,1,12,13,0.36,14,1
582,Taylor Makar (LW/C),UMass,32,10,2,12,0.38,54,0
583,James Crossman (D),Brown University,29,9,3,12,0.41,33,1
584,Michael Cameron (C),UMass,31,9,3,12,0.39,0,-4
585,Jared Wright (RW),University of Denver,34,8,4,12,0.35,2,13
586,Nicholas Zabaneh (C/LW),Boston University,35,8,4,12,0.34,14,6
587,Jakov Novak (LW/C),Northeastern University,35,8,4,12,0.34,26,4
588,Max Pineo (RW),Stonehill College,25,7,5,12,0.48,14,0
589,Reilly Connors (C/RW),Yale University,31,7,5,12,0.39,26,-1
590,Mac Welsher (C),Merrimack College,32,7,5,12,0.38,12,5
591,Timofei Khokhlachev (LW),American International College,35,7,5,12,0.34,22,9
592,Matt Kopperud (C),Arizona State University,21,6,6,12,0.57,30,-6
593,Adam Conquest (RW),Lindenwood University,22,6,6,12,0.55,6,-3
594,Nolan Fitzpatrick (F),Stonehill College,24,6,6,12,0.50,6,5
595,Filip Fornåå Svensson (C/RW),UMass-Lowell,28,6,6,12,0.43,12,5
596,Aleksi Peltonen (F),St. Lawrence University,29,6,6,12,0.41,2,2
597,Gregory Lapointe (F),St. Lawrence University,30,6,6,12,0.40,13,-3
598,Jake Percival (F),University of Connecticut,34,6,6,12,0.35,9,3
599,Simon Isabelle (RW),RIT (Rochester Inst. of Tech.),34,6,6,12,0.35,28,1
600,Gueorgui Feduolov (F),Mercyhurst University,35,6,6,12,0.34,20,-15
601,Tiernan Shoudy (F),Michigan State University,38,6,6,12,0.32,20,1
602,Grayson Constable (F),College of the Holy Cross,40,6,6,12,0.30,12,-10
603,Liam Walsh (LW),Northeastern University,23,5,7,12,0.52,10,9
604,Arlo Merritt (C),Bentley University,28,5,7,12,0.43,12,-5
605,Cole Quisenberry (F),Brown University,29,5,7,12,0.41,8,-4
606,Jack Gorniak (LW/C),University of Wisconsin,31,5,7,12,0.39,30,-5
607,Logan Will (F),Colorado College,33,5,7,12,0.36,12,-4
608,Owen Fowler (LW),UMass-Lowell,33,5,7,12,0.36,18,4
609,Charlie Stramel (C/RW),University of Wisconsin,33,5,7,12,0.36,59,-10
610,Austin Schwartz (F),Air Force Academy,34,5,7,12,0.35,2,2
611,Jake Schmaltz (LW/C),University of North Dakota,34,5,7,12,0.35,2,-8
612,Matt Koethe (F),University of Alaska-Fairbanks,34,5,7,12,0.35,33,0
613,Ryan Leibold (F),Merrimack College,38,5,7,12,0.32,27,-2
614,Mark Estapa (F),University of Michigan,40,5,7,12,0.30,89,6
615,Bradley Cocca (C),Brown University,29,4,8,12,0.41,14,-3
616,Jake Willets (D),Lake Superior State University,33,4,8,12,0.36,8,-9
617,Jackson Jutting (F),Bemidji State University,33,4,8,12,0.36,12,-10
618,Aidan Spellacy (F),St. Cloud State University,35,4,8,12,0.34,11,9
619,Simon Mack (D),Penn State University,36,4,8,12,0.33,2,14
620,Tyler Duke (D),Ohio State University,40,4,8,12,0.30,45,9
621,Tomas Mazura (C),St. Lawrence University,28,3,9,12,0.43,8,2
622,Joey Musa (F),Dartmouth College,30,3,9,12,0.40,31,-14
623,Grant Loven (C),Canisius College,32,3,9,12,0.38,18,6
624,Felikss Gavars (F),St. Lawrence University,36,3,9,12,0.33,8,-2
625,Luke Antonacci (D),University of Maine,36,3,9,12,0.33,10,2
626,Noah Wilson (D),Army (U.S. Military Academy),37,3,9,12,0.32,39,0
627,Aiden Yakimchuk (D),Lindenwood University,30,2,10,12,0.40,8,-8
628,Joaquim Lemay (D),University of Nebraska-Omaha,32,2,10,12,0.38,23,0
629,Jack Agnew (D),RPI (Rensselaer Polytech. Inst.),32,2,10,12,0.38,24,-12
630,John Driscoll (D),Army (U.S. Military Academy),33,2,10,12,0.36,16,-9
631,John Spetz (D),University of Connecticut,35,2,10,12,0.34,12,-7
632,Cameron Recchi (C/LW),University of St. Thomas,35,2,10,12,0.34,25,-16
633,Logan Britt (D),Sacred Heart University,37,2,10,12,0.32,24,1
634,Mack Oliphant (D),College of the Holy Cross,41,2,10,12,0.29,10,-4
635,Jayden Struble (D),Northeastern University,31,1,11,12,0.39,56,8
636,Noah Carlin (D),Niagara University,33,1,11,12,0.36,27,-1
637,Simon Falk (RW),University of Alaska-Fairbanks,33,9,2,11,0.33,8,11
638,Tyler Coffey (F),Colorado College,37,8,3,11,0.30,8,-8
639,Alton McDermott (RW),Canisius College,27,7,4,11,0.41,10,-2
640,Eric Ciccolini (RW),University of Michigan,31,7,4,11,0.35,14,3
641,Owen Farris (C),Union College,33,7,4,11,0.33,35,-6
642,Connor Kurth (F),University of Minnesota,38,7,4,11,0.29,35,8
643,Caige Sterzer (F),Lindenwood University,26,6,5,11,0.42,48,-1
644,Ty Amonte (RW),University of Connecticut,30,6,5,11,0.37,10,-2
645,Zach Urdahl (LW/RW),University of Wisconsin,34,6,5,11,0.32,14,-3
646,Zach Tupker (C),Cornell University,34,6,5,11,0.32,20,5
647,Caleb Hite (F),University of Alaska-Anchorage,27,5,6,11,0.41,23,-14
648,Josh Groll (C/LW),Minnesota State University (Mankato),30,5,6,11,0.37,8,7
649,Daniel Panetta (C),Colgate University,34,5,6,11,0.32,4,1
650,Lucas Thorne (C),College of the Holy Cross,36,5,6,11,0.31,12,-10
651,Chris Grando (LW),Arizona State University,37,5,6,11,0.30,8,-5
652,Kash Rasmussen (F),Michigan Tech,37,5,6,11,0.30,17,-5
653,Brandon Holt (D),University of Maine,24,4,7,11,0.46,2,3
654,Ethan Phillips (C/RW),Boston University,29,4,7,11,0.38,14,0
655,Travis Shoudy (D),Ferris State University,32,4,7,11,0.34,16,6
656,J.D. Pogue (LW),Canisius College,32,4,7,11,0.34,64,-5
657,Markus Boguslavsky (RW),Canisius College,37,4,7,11,0.30,41,4
658,C.J. McGee (D),Quinnipiac University,41,4,7,11,0.27,18,9
659,John Fusco (D),Dartmouth College,22,3,8,11,0.50,23,-8
660,Nicholas Cafarelli (F),University of New Hampshire,23,3,8,11,0.48,29,-1
661,Liam Valente (LW/C),Providence College,30,3,8,11,0.37,10,2
662,Mark Hillier (F),Merrimack College,31,3,8,11,0.35,4,-3
663,Axel Kumlin (D),Miami University (Ohio),32,3,8,11,0.34,19,-24
664,Sam Stange (RW),University of Wisconsin,34,3,8,11,0.32,2,-8
665,Markuss Komuls (D),University of Alaska-Fairbanks,34,3,8,11,0.32,16,8
666,Max Coyle (D),Bowling Green State University,34,3,8,11,0.32,34,-1
667,Arvils Bergmanis (D),University of Alaska-Fairbanks,34,3,8,11,0.32,79,10
668,Chris Hedden (D),Air Force Academy,35,3,8,11,0.31,12,-6
669,Brendan Bushy (D),St. Cloud State University,41,3,8,11,0.27,33,16
670,Samuel Brennan (D),Air Force Academy,22,2,9,11,0.50,45,0
671,Joe Prouty (D),Lindenwood University,30,2,9,11,0.37,36,-6
672,Dylan Gratton (D),Penn State University,33,2,9,11,0.33,2,15
673,Chase Blackmun (D),University of Notre Dame,34,2,9,11,0.32,10,3
674,Grayson Arnott (D),University of Maine,34,2,9,11,0.32,25,-1
675,Dalton Norris (D),Bowling Green State University,36,2,9,11,0.31,8,-1
676,Tristan Crozier (F),Merrimack College,38,2,9,11,0.29,14,-3
677,Michael Mancinelli (C),University of Maine,30,1,10,11,0.37,6,3
678,Nick Carabin (D),Princeton University,32,1,10,11,0.34,28,7
679,Jarrett Lee (F),University of St. Thomas,34,1,10,11,0.32,18,-12
680,Ty Farmer (D),University of North Dakota,37,1,10,11,0.30,27,-7
681,Ethan Szmagaj (D),Arizona State University,39,1,10,11,0.28,40,-7
682,Ben Dexheimer (D),University of Wisconsin,35,0,11,11,0.31,12,-11
683,Ondrej Trejbal (D),St. Cloud State University,38,0,11,11,0.29,12,3
684,Jacob Nordqvist (D),Quinnipiac University,38,0,11,11,0.29,20,15
685,Keaton Pehrson (D),University of Michigan,39,0,11,11,0.28,0,12
686,Isaiah Fox (F),Long Island University,24,9,1,10,0.42,26,-2
687,Alexander Lundman (RW/LW),Bemidji State University,35,9,1,10,0.29,10,7
688,Patrick Moynihan (RW),Providence College,34,7,3,10,0.29,41,-2
689,Sullivan Mack (C/LW),Cornell University,25,6,4,10,0.40,8,6
690,Carter Korpi (F),Union College,31,6,4,10,0.32,14,-4
691,Jesse Tucker (C),Michigan State University,31,6,4,10,0.32,24,-2
692,Cole Hanson (F),University of Maine,36,6,4,10,0.28,22,-5
693,Mike Posma (C/LW),Boston College,36,6,4,10,0.28,23,2
694,Ryan Savage (RW),Miami University (Ohio),36,6,4,10,0.28,28,-6
695,Jamie Engelbert (C),Providence College,37,5,5,10,0.27,14,12
696,Ben Raymond (C/LW),Colgate University,39,5,5,10,0.26,14,-6
697,Brett Bamber (D),University of Alaska-Anchorage,27,4,6,10,0.37,19,-3
698,Dimitri Mikrogiannakis (D),RIT (Rochester Inst. of Tech.),28,4,6,10,0.36,30,10
699,Spencer Kersten (RW/LW),Princeton University,31,4,6,10,0.32,20,-3
700,Nik Allain (F),Yale University,32,4,6,10,0.31,31,-1
701,Adam Eisele (F),Minnesota State University (Mankato),33,4,6,10,0.30,6,8
702,Matt Slick (D),Ferris State University,33,4,6,10,0.30,17,-6
703,Zach Krajnik (C),Minnesota State University (Mankato),34,4,6,10,0.29,14,4
704,Matt DeMelis (F),Northeastern University,35,4,6,10,0.29,6,5
705,Connor Eddy (C),Northern Michigan University,35,4,6,10,0.29,14,5
706,Matthew Gleason (C),Colorado College,35,4,6,10,0.29,40,-19
707,Jordan Steinmetz (F),St. Lawrence University,35,4,6,10,0.29,70,-10
708,Connor Joyce (C),Boston College,36,4,6,10,0.28,4,-2
709,Nick Granowicz (C/RW),University of Michigan,36,4,6,10,0.28,16,5
710,David Gucciardi (D),Michigan State University,36,4,6,10,0.28,43,0
711,Ryan McGuire (C/RW),Colgate University,40,4,6,10,0.25,37,-6
712,Sean Donaldson (LW),Cornell University,22,3,7,10,0.45,0,4
713,Matt Sutton (F),Brown University,26,3,7,10,0.38,6,-3
714,Caleb Price (D),Lindenwood University,30,3,7,10,0.33,12,-12
715,Mitchell Allard (LW),Lindenwood University,30,3,7,10,0.33,48,-7
716,Nick Nardecchia (RW),Ferris State University,35,3,7,10,0.29,27,1
717,Paul DeNaples (D),Penn State University,39,3,7,10,0.26,8,8
718,Cédric Fiedler (D),Western Michigan University,39,3,7,10,0.26,17,24
719,Chris Lipe (D),Michigan Tech,30,2,8,10,0.33,22,-1
720,Jack Anderson (D),Lindenwood University,30,2,8,10,0.33,23,-3
721,Matt Crasa (C/RW),UMass-Lowell,31,2,8,10,0.32,16,-6
722,Josh Luedtke (D),St. Cloud State University,32,2,8,10,0.31,48,19
723,Jarod Crespo (D),Penn State University,33,2,8,10,0.30,15,-1
724,Cam Burke (C),Boston College,36,2,8,10,0.28,6,-9
725,Ryan Chesley (D),University of Minnesota,36,2,8,10,0.28,13,15
726,Ethan Straky (D),Colorado College,38,2,8,10,0.26,8,-9
727,Ryan Brushett (C),UMass-Lowell,24,1,9,10,0.42,12,0
728,Brenden Datema (D),Canisius College,30,1,9,10,0.33,35,4
729,Jérémie Bucheler (D),Northeastern University,32,1,9,10,0.31,14,7
730,Valtteri Piironen (D),Long Island University,32,1,9,10,0.31,14,3
731,Vincent Borgesi (D),Northeastern University,32,1,9,10,0.31,24,7
732,Nikolai Jenson (D),University of New Hampshire,33,1,9,10,0.30,33,6
